branch_path,ninth_sector_code,active,include_in_demand_total,notes
Demand\International transport,04_international_marine_bunkers,TRUE,TRUE,User-provided branch mapping.
Demand\International transport,05_international_aviation_bunkers,TRUE,TRUE,User-provided branch mapping.
Demand\Nonspecified transport,15_06_nonspecified_transport,TRUE,TRUE,May not match exactly; expected near-zero in LEAP.
Demand\Passenger road,15_02_01_passenger,TRUE,TRUE,User-provided branch mapping.
Demand\Freight road,15_02_02_freight,TRUE,TRUE,User-provided branch mapping.
Demand\Passenger non road,15_01_01_passenger,TRUE,TRUE,User-provided branch mapping.
Demand\Passenger non road,15_03_01_passenger,TRUE,TRUE,User-provided branch mapping.
Demand\Passenger non road,15_04_01_passenger,TRUE,TRUE,User-provided branch mapping.
Demand\Freight non road,15_01_02_freight,TRUE,TRUE,User-provided branch mapping.
Demand\Freight non road,15_03_02_freight,TRUE,TRUE,User-provided branch mapping.
Demand\Freight non road,15_04_02_freight,TRUE,TRUE,User-provided branch mapping.
Demand\Pipeline transport,15_05_pipeline_transport,TRUE,TRUE,User-provided branch mapping.
