leap_fuel_label,codebook_name,ninth_fuel_override,esto_product_override,active,notes
Gas and diesel oil,Gas/diesel oil,,,TRUE,Normalize slash variation.
Gasoline,Motor gasoline,,,TRUE,Map generic gasoline to motor gasoline.
Diesel,Gas/diesel oil,,,TRUE,Map diesel label to gas/diesel oil aggregate.
Ammonia,Other ammonia,16_x_ammonia,16.09 Other sources,TRUE,Explicit override for 9th/ESTO alignment.
Anthracite,Coal,01_coal,,TRUE,Map anthracite to aggregate coal.
Aviation gasoline,Aviation gasoline,07_02_aviation_gasoline,,TRUE,
BKB and PB,Coal,01_coal_unallocated,,TRUE,Peat/brown coal briquettes to coal aggregate.
Bagasse,Bagasse,15_02_bagasse,,TRUE,
Bio jet kerosene,Bio jet kerosene,16_07_bio_jet_kerosene,,TRUE,
Biodiesel,Biodiesel,16_06_biodiesel,,TRUE,
Biogas,Biogas,16_01_biogas,,TRUE,
Biogasoline,Biogasoline,16_05_biogasoline,,TRUE,
Bitumen,Other petroleum products,07_x_other_petroleum_products,,TRUE,
Black liqour,Black liqour,15_04_black_liquor,,TRUE,
Blast furnace gas,Coal,01_coal_unallocated,,TRUE,No dedicated 9th fuel code available; map to coal aggregate.
Charcoal,Charcoal,15_03_charcoal,,TRUE,
Coal nonspecified,Coal,01_coal_unallocated,,TRUE,
Coal products nonspecified,Coal,01_coal_unallocated,,TRUE,
Coal tar,Coal,01_coal_unallocated,,TRUE,
Coke oven coke,Coal,01_coal_unallocated,,TRUE,
Coke oven gas,Coal,01_coal_unallocated,,TRUE,
Electricity,Electricity,17_electricity,,TRUE,
Ethane,Ethane,07_11_ethane,,TRUE,
Fuel oil,Fuel oil,07_08_fuel_oil,,TRUE,
Fuelwood and woodwaste,Fuelwood and woodwaste,15_01_fuelwood_and_woodwaste,,TRUE,
Gas coke,Coal,01_coal_unallocated,,TRUE,
Gasoline type jet fuel,Jet fuel,07_x_jet_fuel,,TRUE,
Heat,Heat,18_heat,,TRUE,
Industrial waste,Industrial waste,16_02_industrial_waste,,TRUE,
Kerosene,Kerosene,07_06_kerosene,,TRUE,
LNG,LNG,08_02_lng,,TRUE,
LPG,LPG,07_09_lpg,,TRUE,
Lignite,Lignite,01_05_lignite,,TRUE,
Lubricants,Other petroleum products,07_x_other_petroleum_products,,TRUE,
Motor gasoline,Motor gasoline,07_01_motor_gasoline,,TRUE,
Municipal solid waste non renewable,Municipal solid waste non renewable,16_04_municipal_solid_waste_nonrenewable,,TRUE,
Municipal solid waste renewable,Municipal solid waste renewable,16_03_municipal_solid_waste_renewable,,TRUE,
Naphtha,Naphtha,07_03_naphtha,,TRUE,
Natural Gas,Natural gas,08_01_natural_gas,,TRUE,
Natural gas,Natural gas,08_01_natural_gas,,TRUE,
Efuel,Other E-fuel,16_x_efuel,16.09 Other sources,TRUE,Explicit override for e-fuel mapping.
Kerosene type jet fuel,Kerosene type jet fuel,07_x_jet_fuel,07.05 Kerosene type jet fuel,TRUE,Link jet fuel naming to 9th and ESTO.
Hydrogen,Hydrogen,16_x_hydrogen,16.09 Other sources,TRUE,Hydrogen often maps to other sources in ESTO.
